subject;CSI;LOAm;LOAr;validation
A_SUBSTRUCTURE;A;20;20;B
A10_FOUNDATIONS;A10;20;20;B
A1010_STANDARD_FOUNDATIONS;A1010;30;30;B
A1020_SPECIAL_FOUNDATIONS;A1020;30;30;B
A20_SUBGRADE_ENCLOSURES;A20;20;30;B
A2010_WALLS_FOR_SUBGRADE_ENCLOSURES;A2010;30;30;B
A40_SLABS_ON_GRADE;A40;20;30;B
A4010_STANDARD_SLABS_ON_GRADE;A4010;30;30;B
A4020_STRUCTURAL_SLABS_ON_GRADE;A4020;30;30;B
B_SHELL;B;20;30;B
B10_SUPERSTRUCTURE;B10;20;30;B
B1010_FLOOR_CONSTRUCTION;B1010;30;30;B
B1020_ROOF_CONSTRUCTION;B1020;30;30;B
B1080_STAIRS;B1080;30;30;B
B20_EXTERIOR_VERTICAL_ENCLOSURES;B20;20;30;B
B2010_EXTERIOR_WALLS;B2010;30;30;B
B2020_EXTERIOR_WINDOWS;B2020;30;30;B
B2050_EXTERIOR_DOORS_AND_GRILLES;B2050;30;30;B
B2070_EXTERIOR_LOUVERS_AND_VENTS;B2070;30;30;B
B2080_EXTERIOR_WALLS_AND_APPURTENANCES;B2080;30;30;B
B2090_EXTERIOR_WALLS_SPECIALTIES;B2090;30;30;B
B30_EXTERIOR_HORIZONTAL_ENCLOSURES;B30;20;30;B
B3010_ROOFING;B3010;30;30;B
B3020_ROOF_APPERURTENANCES;B3020;30;30;B
B3040_TRAFFIC_BEARING_HORIZONTAL_ENCLOSURES;B3040;30;30;B
B3060_HORIZONTAL_OPENINGS;B3060;30;30;B
B3080_OVERHEAD_EXTERIOR_ENCLOSURES;B3080;30;30;B
C_INTERIORS;C;20;30;B
C10_INTERIOR_CONSTRUCTION;C10;20;30;B
C1010_INTERIOR_PARTITIONS;C1010;30;30;B
C1020_INTERIOR_WINDOWS;C1020;30;30;B
C1030_INTERIOR_DOORS;C1030;30;30;B
C1040_INTERIOR_GRILLES_AND_GATES;C1040;30;30;B
C1060_RAISED_FLOOR_CONSTRUCTION;C1060;30;30;B
C1070_SUSPENDED_CEILING_CONSTRUCTION;C1070;30;30;B
C1090_INTERIOR_SPECIALTIES;C1090;30;30;B
C20_INTERIOR_FINISHES;C20;20;30;B
C2010_WALL_FINISHES;C2010;30;30;B
C2020_INTERIOR_FABRICATIONS;C2020;30;30;B
C2030_FLOORING;C2030;30;30;B
C2040_STAIR_FINISHES;C2040;30;30;B
C2050_CEILING_FINISHES;C2050;30;30;B